nhru_v1_1,i,j,wght
2106,17,131,0.0023921301541909735
2106,15,132,0.0023883849870904622
2106,16,131,0.002390258222438157
2106,15,131,0.00238838498708971
2106,16,130,0.002390258222438862
2106,15,130,0.0023883849870900316
2106,14,134,0.002386510449058392
2106,15,133,0.002388384987088911
2106,13,134,0.0023846346092736277
2106,14,133,0.0023865104490570564
2106,13,133,0.0023846346092741425
2106,14,132,0.0023865104490581714
2106,13,132,0.0023846346092746876
2106,14,131,0.002386510449057391
2106,13,131,0.0023846346092739204
2106,14,130,0.0023865104490571917
2106,10,138,0.002378999288640624
2106,9,138,0.002150225366294731
2106,10,137,0.0023789992886397732
2106,8,138,0.0003407443054285737
2106,9,137,0.002377118251078266
2106,10,136,0.002378999288641287
2106,8,137,0.0016776037462634954
2106,9,136,0.002377118251079765
2106,10,135,0.002378999288640375
2106,8,136,0.0022531304416698677
2106,7,137,4.869714188857239e-06
2106,13,136,0.0023846346092756938
2106,11,137,0.0023732993276497417
2106,12,136,0.0023827574686584824
2106,13,135,0.002384634609274078
2106,11,136,0.0023808790281349412
2106,12,135,0.002382757468657899
2106,11,135,0.002380879028134846
2106,12,134,0.002382757468658032
2106,11,134,0.0023808790281348094
2106,12,133,0.002382757468656388
2106,7,136,0.00010383962305344272
2106,9,135,0.002377118251078855
2106,10,134,0.0023789992886396596
2106,8,135,0.0023752359164102895
2106,9,134,0.0023771182510791346
2106,7,135,0.00035806636124773483
2106,8,134,0.0023752359164101984
2106,9,133,0.0023771182510778075
2106,7,134,0.0014752922380892753
2106,8,133,0.002375235916408429
2106,9,132,0.002377118251079575
2106,6,133,8.594800478299484e-05
2106,5,133,0.00014642167466517224
2106,6,132,0.0004428026812140465
2106,4,133,0.0001636383262727073
2106,21,136,0.00011358133486982514
2106,20,136,0.0018742720849297147
2106,19,136,0.002395870103187685
2106,20,135,0.00032163245511933146
2106,19,135,0.0023882319958992964
2106,19,134,0.001858408877998551
2106,19,133,0.0014198618945913198
2106,21,130,0.0004763526416131682
2106,20,130,0.0017458413649994908
2106,21,129,0.0007156505482463302
2106,20,129,0.0023977381185983013
2106,21,128,0.00017281266504867867
2106,18,133,0.002394000781406653
2106,19,132,0.0012388023162807121
2106,18,132,0.002394000781408003
2106,19,131,0.0012930990749555448
2106,18,131,0.0023940007814072448
2106,19,130,0.002292834076895909
2106,18,130,0.002394000781407933
2106,19,129,0.002395870103186549
2106,17,130,0.0023921301541912484
2106,20,128,0.0023818182236215644
2106,21,127,0.00011078990905397875
2106,19,128,0.002395870103186877
2106,20,127,0.0023915257481944797
2106,19,127,0.002395870103187563
2106,20,126,0.0023977381185979873
2106,19,126,0.0023958701031863306
2106,20,125,0.0023977381185981764
2106,19,125,0.002395870103186833
2106,20,124,0.0023977381185974
2106,21,126,0.0006704522249484838
2106,21,125,0.0011205160484231741
2106,21,124,0.0005254166733691636
2106,21,123,1.6424789945992574e-05
2106,20,123,0.0012667507630535642
2106,21,122,2.1323048370089844e-05
2106,20,122,0.0014381832851652228
2106,20,121,0.00047852398291197833
2106,18,125,0.0023940007814077847
2106,19,124,0.002395870103187403
2106,18,124,0.0023940007814070947
2106,19,123,0.002395870103187765
2106,18,123,0.0023940007814084543
2106,19,122,0.002395870103186623
2106,18,122,0.002394000781407593
2106,19,121,0.002282211428023509
2106,18,121,0.0023940007814074547
2106,17,121,0.0023921301541907727
2106,17,125,0.0023921301541914354
2106,16,125,0.002390258222438447
2106,17,124,0.0023921301541907874
2106,16,124,0.0023902582224384814
2106,17,123,0.0023921301541921206
2106,16,123,0.0023902582224394836
2106,15,123,0.002388384987090491
2106,17,122,0.002392130154191396
2106,16,122,0.0023902582224385625
2106,15,122,0.0023883849870900923
2106,19,120,0.0019400828712939527
2106,19,119,0.001279794780471445
2106,19,118,0.0010802161468419537
2106,19,117,0.0017383615500962562
2106,18,117,0.002394000781407733
2106,16,121,0.0023902582224387585
2106,15,121,0.002388384987089826
2106,16,120,0.0023902582224386427
2106,15,120,0.002388384987090037
2106,14,120,0.002386510449057747
2106,16,119,0.002390258222438885
2106,15,119,0.0023883849870900684
2106,14,119,0.002386510449058129
2106,15,118,0.002388384987090084
2106,14,118,0.0023865104490579958
2106,18,120,0.0023940007814075345
2106,17,120,0.0023921301541907653
2106,18,119,0.0023940007814077426
2106,17,119,0.0023921301541916934
2106,18,118,0.0023940007814078307
2106,17,118,0.0023921301541915217
2106,16,118,0.0023902582224381206
2106,17,117,0.0023921301541912922
2106,16,117,0.0023902582224393783
2106,17,116,0.002392130154191215
2106,11,133,0.0023808790281333488
2106,12,132,0.0023827574686584472
2106,10,133,0.002378999288639891
2106,11,132,0.0023808790281347816
2106,10,132,0.002378999288640787
2106,11,131,0.0023808790281343757
2106,10,131,0.0023789992886402095
2106,11,130,0.002380879028134036
2106,10,130,0.002378999288640653
2106,11,129,0.002380879028134554
2106,18,129,0.0023940007814083524
2106,17,129,0.0023921301541910307
2106,18,128,0.0023940007814073367
2106,17,128,0.0023921301541908833
2106,18,127,0.002394000781407518
2106,17,127,0.0023921301541916925
2106,18,126,0.002394000781407721
2106,16,127,0.002390258222438482
2106,17,126,0.0023921301541909717
2106,16,126,0.0023902582224384935
2106,12,131,0.0023827574686575144
2106,13,130,0.002384634609275166
2106,14,129,0.0023865104490579008
2106,12,130,0.0023827574686579676
2106,13,129,0.0023846346092748025
2106,12,129,0.0023827574686585053
2106,13,128,0.002384634609274447
2106,12,128,0.002382757468657789
2106,13,127,0.0023846346092749704
2106,12,127,0.0023827574686580808
2106,16,129,0.0023902582224390547
2106,15,129,0.0023883849870902545
2106,16,128,0.0023902582224385816
2106,15,128,0.002388384987089911
2106,14,128,0.0023865104490572
2106,15,127,0.0023883849870901864
2106,14,127,0.0023865104490580244
2106,15,126,0.0023883849870900867
2106,14,126,0.0023865104490575066
2106,15,125,0.0023883849870899912
2106,9,130,0.002377118251079254
2106,10,129,0.0023789992886406176
2106,11,128,0.0023808790281340596
2106,9,129,0.0023771182510791433
2106,10,128,0.0023789992886401852
2106,9,128,0.002377118251078694
2106,10,127,0.0023789992886404645
2106,9,127,0.0023771182510793788
2106,10,126,0.0023789992886400113
2106,8,127,0.0023752359164103086
2106,13,126,0.0023846346092740215
2106,11,127,0.002380879028135148
2106,12,126,0.002382757468657844
2106,11,126,0.002380879028134081
2106,12,125,0.002382757468657816
2106,11,125,0.0023808790281343636
2106,12,124,0.002382757468657343
2106,11,124,0.0023808790281340296
2106,12,123,0.0023827574686585374
2106,10,124,0.0023789992886401965
2106,14,125,0.002386510449057979
2106,15,124,0.0023883849870897944
2106,13,125,0.0023846346092746017
2106,14,124,0.0023865104490575933
2106,13,124,0.002384634609274853
2106,14,123,0.002386510449058773
2106,13,123,0.002384634609275318
2106,14,122,0.002386510449058083
2106,13,122,0.0023846346092746044
2106,14,121,0.0023865104490569857
2106,11,123,0.0023808790281350987
2106,10,123,0.0023789992886408947
2106,11,122,0.00238087902813479
2106,10,122,0.0023789992886404103
2106,11,121,0.0023808790281342434
2106,10,121,0.0023789992886398144
2106,11,120,0.0023808790281342374
2106,9,121,0.0023771182510788475
2106,10,120,0.0023789992886400053
2106,9,120,0.0023771182510792027
2106,12,122,0.002382757468658573
2106,13,121,0.002384634609274456
2106,12,121,0.0023827574686577264
2106,13,120,0.0023846346092745822
2106,12,120,0.0023827574686583193
2106,13,119,0.002384634609274098
2106,12,119,0.0023827574686584086
2106,11,119,0.0023808790281346372
2106,13,118,0.0023846346092745536
2106,12,118,0.00238275746865823
2106,9,122,0.002377118251079341
2106,7,123,0.0023733522855424144
2106,8,122,0.0023752359164099244
2106,7,122,0.00237335228554148
2106,8,121,0.002375235916409292
2106,7,121,0.00237335228554119
2106,8,120,0.0023752359164094204
2106,7,120,0.00237335228554137
2106,8,119,0.0023752359164100414
2106,6,120,0.002371467359400734
2106,7,133,0.0023321442778912907
2106,8,132,0.0023752359164102258
2106,9,131,0.0023771182510786085
2106,7,132,0.002162912402003081
2106,8,131,0.002375235916409548
2106,7,131,0.002358317949731493
2106,8,130,0.0023752359164097236
2106,6,131,0.0016889873287291763
2106,7,130,0.0023733522855412643
2106,8,129,0.002375235916409891
2106,5,132,0.001030668905949664
2106,3,133,5.702619333343242e-06
2106,4,132,0.0019972882034984063
2106,5,131,0.001647193890625555
2106,3,132,0.001174711877666853
2106,4,131,0.0023676936250677538
2106,2,132,4.8935846521822154e-05
2106,5,130,0.0023695811389380247
2106,3,131,0.002365804818731496
2106,6,130,0.0023714673594011255
2106,7,129,0.002373352285541365
2106,8,128,0.0023752359164094052
2106,6,129,0.0023714673594013224
2106,7,128,0.0023733522855411606
2106,6,128,0.0023714673594002005
2106,7,127,0.002373352285541796
2106,5,128,0.002369581138938789
2106,6,127,0.0023714673594006585
2106,7,126,0.0023733522855412786
2106,4,130,0.0023676936250685877
2106,2,131,0.001219131101071622
2106,5,129,0.002369581138939399
2106,3,130,0.002365804818731757
2106,4,129,0.002367693625069257
2106,2,130,0.001704537083716883
2106,3,129,0.002365804818731728
2106,4,128,0.002367693625067665
2106,2,129,0.002247910538055557
2106,9,126,0.0023771182510789
2106,10,125,0.0023789992886400586
2106,8,126,0.002375235916409164
2106,9,125,0.0023771182510795227
2106,8,125,0.002375235916409731
2106,9,124,0.0023771182510793523
2106,8,124,0.002375235916409556
2106,9,123,0.002377118251079441
2106,7,124,0.0023733522855415865
2106,8,123,0.002375235916410535
2106,3,128,0.0023658048187317382
2106,1,129,7.373866065358994e-05
2106,4,127,0.002367693625068449
2106,2,128,0.0016587157666600601
2106,3,127,0.002365804818731944
2106,1,128,9.18693812634671e-05
2106,4,126,0.002367693625068671
2106,2,127,0.0014589666795887242
2106,3,126,0.002365804818731093
2106,5,127,0.0023695811389391175
2106,6,126,0.0023714673594002456
2106,7,125,0.0023733522855415162
2106,5,126,0.0023695811389385993
2106,6,125,0.0023714673594011242
2106,5,125,0.0023695811389390963
2106,6,124,0.002371467359400742
2106,4,125,0.002367693625067919
2106,5,124,0.002369581138937907
2106,6,123,0.002371467359401306
2106,2,126,0.0017134707262358986
2106,3,125,0.002365655591819425
2106,2,125,0.0008584628132315079
2106,3,124,0.0023483966177819345
2106,2,124,0.0007468941294596677
2106,3,123,0.0020112913040407467
2106,2,123,0.00028728425456276004
2106,4,124,0.0023676936250685327
2106,5,123,0.0023695811389397906
2106,6,122,0.0023714673594009885
2106,4,123,0.0023676936250691108
2106,5,122,0.0023695811389396375
2106,6,121,0.0023714673594004265
2106,4,122,0.0020366280431796226
2106,5,121,0.0023695811389379227
2106,4,121,0.002350520215835011
2106,5,120,0.0023695811389390646
2106,15,117,0.002388384987089973
2106,14,117,0.0023865104490580417
2106,13,117,0.0023846346092745462
2106,15,116,0.0023883849870901816
2106,14,116,0.002363626258973496
2106,13,116,0.0023115143354008913
2106,14,115,0.00035532891900346824
2106,13,115,0.00041913291979852886
2106,10,119,0.0023789992886402754
2106,9,119,0.002377118251079314
2106,10,118,0.0023789992886396293
2106,9,118,0.002377118251079841
2106,10,117,0.0023789992886404177
2106,9,117,0.00237711825107902
2106,8,117,0.0023752359164100024
2106,10,116,0.002378999288640111
2106,9,116,0.0023771182510793983
2106,8,116,0.001532091271372186
2106,11,118,0.0023808790281344312
2106,12,117,0.0023827574686583705
2106,11,117,0.0023808790281342066
2106,12,116,0.002382757468658286
2106,11,116,0.002380879028134895
2106,12,115,0.0016771221536483953
2106,11,115,0.002313109204611171
2106,10,115,0.0023789992886397503
2106,11,114,0.0007676779772306338
2106,7,119,0.0023733522855416806
2106,8,118,0.0023752359164101945
2106,6,119,0.00237146735940099
2106,7,118,0.002373352285540939
2106,6,118,0.0023714673594010674
2106,7,117,0.002216320939214817
2106,6,117,0.0020311713955459164
2106,5,117,6.046839512299165e-05
2106,7,116,0.00037855750516111266
2106,6,116,0.00028846846178592656
2106,9,115,0.002266765516884433
2106,8,115,0.00034977130436461237
2106,9,114,0.0016842561689879593
2106,9,113,0.00045303162378989274
2106,10,114,0.0023340649341899644
2106,10,113,0.0009629566074059904
2106,19,116,0.0016817755013572044
2106,18,116,0.002234436775653499
2106,19,115,8.388016901074036e-05
2106,18,115,0.00022371842586622843
2106,16,116,0.002390258222438342
2106,17,115,0.001475606021952894
2106,16,115,0.0020201973345497924
2106,15,115,0.0010328602235680341
2106,3,122,0.00024958227531885884
2106,3,121,0.0005371002960139345
2106,4,120,0.0023676936250687803
2106,5,119,0.0023695811389397364
2106,3,120,0.0015141708251175797
2106,4,119,0.002363318157465628
2106,5,118,0.001733337155085437
2106,3,119,0.0004469839361618552
2106,4,118,0.0017568750664568459
2106,4,117,0.00021453857425218623
2127,14,116,0.00011967745498406147
2127,13,116,0.00038239711575915056
2127,14,115,0.010622470588904144
2127,13,115,0.010278984709138407
2127,14,114,0.012480734331295637
2127,13,114,0.012470924251481256
2127,12,115,0.003690261194908778
2127,11,115,0.0003544158641329044
2127,12,114,0.012461107368699171
2127,11,114,0.008436557965733464
2127,14,113,0.012480734331292886
2127,13,113,0.012470924251476995
2127,12,113,0.012461107368692801
2127,13,112,0.012470924251481406
2127,12,112,0.012461107368693335
2127,13,111,0.012470924251479484
2127,12,111,0.012461107368696798
2127,13,110,0.012470924251472915
2127,12,110,0.012461107368689316
2127,11,110,0.008291790698001464
2127,10,114,0.00023499320544269353
2127,11,113,0.012451283687788492
2127,10,113,0.004871075185680061
2127,11,112,0.007736029134236068
2127,10,112,0.000635900917003499
2127,11,111,0.01078916047396779
2127,10,111,0.0018356433451288338
2127,10,110,0.0008930605205789029
2127,13,109,0.012470924251485535
2127,12,109,0.012461107368696695
2127,11,109,0.012451283687792528
2127,12,108,0.012384113074291303
2127,11,108,0.011063444835658808
2127,12,107,0.004363010769261479
2127,11,107,0.007973829548483595
2127,10,107,0.00023939498187485115
2127,12,106,0.0008754215327242205
2127,11,106,1.6434630380175172e-05
2127,8,110,0.0008780594746163064
2127,20,114,2.1882561745001777e-05
2127,20,113,0.002663786707788631
2127,21,112,0.00012198421285158536
2127,19,116,0.0006082060520566689
