,nhru_v1_1,i,j,wght
357,2106,17,120,0.0023921301541907653
358,2106,18,119,0.0023940007814077426
359,2106,17,119,0.0023921301541916934
360,2106,18,118,0.0023940007814078307
361,2106,17,118,0.0023921301541915217
362,2106,16,118,0.0023902582224381206
363,2106,17,117,0.0023921301541912922
364,2106,16,117,0.0023902582224393783
365,2106,17,116,0.002392130154191215
366,2106,11,133,0.0023808790281333488
367,2106,12,132,0.0023827574686584472
368,2106,10,133,0.002378999288639891
369,2106,11,132,0.0023808790281347816
370,2106,10,132,0.002378999288640787
371,2106,11,131,0.0023808790281343757
372,2106,10,131,0.0023789992886402095
373,2106,11,130,0.002380879028134036
374,2106,10,130,0.002378999288640653
375,2106,11,129,0.002380879028134554
376,2106,18,129,0.0023940007814083524
377,2106,17,129,0.0023921301541910307
378,2106,18,128,0.0023940007814073367
379,2106,17,128,0.0023921301541908833
380,2106,18,127,0.002394000781407518
381,2106,17,127,0.0023921301541916925
382,2106,18,126,0.002394000781407721
383,2106,16,127,0.002390258222438482
384,2106,17,126,0.0023921301541909717
385,2106,16,126,0.0023902582224384935
386,2106,12,131,0.0023827574686575144
387,2106,13,130,0.002384634609275166
388,2106,14,129,0.0023865104490579008
389,2106,12,130,0.0023827574686579676
390,2106,13,129,0.0023846346092748025
391,2106,12,129,0.0023827574686585053
392,2106,13,128,0.002384634609274447
393,2106,12,128,0.002382757468657789
394,2106,13,127,0.0023846346092749704
395,2106,12,127,0.0023827574686580808
396,2106,16,129,0.0023902582224390547
397,2106,15,129,0.0023883849870902545
398,2106,16,128,0.0023902582224385816
399,2106,15,128,0.002388384987089911
400,2106,14,128,0.0023865104490572
401,2106,15,127,0.0023883849870901864
402,2106,14,127,0.0023865104490580244
403,2106,15,126,0.0023883849870900867
404,2106,14,126,0.0023865104490575066
405,2106,15,125,0.0023883849870899912
406,2106,9,130,0.002377118251079254
407,2106,10,129,0.0023789992886406176
408,2106,11,128,0.0023808790281340596
409,2106,9,129,0.0023771182510791433
410,2106,10,128,0.0023789992886401852
411,2106,9,128,0.002377118251078694
412,2106,10,127,0.0023789992886404645
413,2106,9,127,0.0023771182510793788
414,2106,10,126,0.0023789992886400113
415,2106,8,127,0.0023752359164103086
416,2106,13,126,0.0023846346092740215
417,2106,11,127,0.002380879028135148
418,2106,12,126,0.002382757468657844
419,2106,11,126,0.002380879028134081
420,2106,12,125,0.002382757468657816
421,2106,11,125,0.0023808790281343636
422,2106,12,124,0.002382757468657343
423,2106,11,124,0.0023808790281340296
424,2106,12,123,0.0023827574686585374
425,2106,10,124,0.0023789992886401965
426,2106,14,125,0.002386510449057979
427,2106,15,124,0.0023883849870897944
428,2106,13,125,0.0023846346092746017
429,2106,14,124,0.0023865104490575933
430,2106,13,124,0.002384634609274853
431,2106,14,123,0.002386510449058773
432,2106,13,123,0.002384634609275318
433,2106,14,122,0.002386510449058083
434,2106,13,122,0.0023846346092746044
435,2106,14,121,0.0023865104490569857
436,2106,11,123,0.0023808790281350987
437,2106,10,123,0.0023789992886408947
438,2106,11,122,0.00238087902813479
439,2106,10,122,0.0023789992886404103
440,2106,11,121,0.0023808790281342434
441,2106,10,121,0.0023789992886398144
442,2106,11,120,0.0023808790281342374
443,2106,9,121,0.0023771182510788475
444,2106,10,120,0.0023789992886400053
445,2106,9,120,0.0023771182510792027
446,2106,12,122,0.002382757468658573
447,2106,13,121,0.002384634609274456
448,2106,12,121,0.0023827574686577264
449,2106,13,120,0.0023846346092745822
450,2106,12,120,0.0023827574686583193
451,2106,13,119,0.002384634609274098
452,2106,12,119,0.0023827574686584086
453,2106,11,119,0.0023808790281346372
454,2106,13,118,0.0023846346092745536
455,2106,12,118,0.00238275746865823
456,2106,9,122,0.002377118251079341
457,2106,7,123,0.0023733522855424144
458,2106,8,122,0.0023752359164099244
459,2106,7,122,0.00237335228554148
460,2106,8,121,0.002375235916409292
461,2106,7,121,0.00237335228554119
462,2106,8,120,0.0023752359164094204
463,2106,7,120,0.00237335228554137
464,2106,8,119,0.0023752359164100414
465,2106,6,120,0.002371467359400734
466,2106,7,133,0.0023321442778912907
467,2106,8,132,0.0023752359164102258
468,2106,9,131,0.0023771182510786085
469,2106,7,132,0.002162912402003081
470,2106,8,131,0.002375235916409548
471,2106,7,131,0.002358317949731493
472,2106,8,130,0.0023752359164097236
473,2106,6,131,0.0016889873287291763
474,2106,7,130,0.0023733522855412643
475,2106,8,129,0.002375235916409891
476,2106,5,132,0.001030668905949664
477,2106,3,133,5.702619333343242e-06
478,2106,4,132,0.0019972882034984063
479,2106,5,131,0.001647193890625555
480,2106,3,132,0.001174711877666853
481,2106,4,131,0.0023676936250677538
482,2106,2,132,4.8935846521822154e-05
483,2106,5,130,0.0023695811389380247
484,2106,3,131,0.002365804818731496
485,2106,6,130,0.0023714673594011255
486,2106,7,129,0.002373352285541365
487,2106,8,128,0.0023752359164094052
488,2106,6,129,0.0023714673594013224
489,2106,7,128,0.0023733522855411606
490,2106,6,128,0.0023714673594002005
491,2106,7,127,0.002373352285541796
492,2106,5,128,0.002369581138938789
493,2106,6,127,0.0023714673594006585
494,2106,7,126,0.0023733522855412786
495,2106,4,130,0.0023676936250685877
496,2106,2,131,0.001219131101071622
497,2106,5,129,0.002369581138939399
498,2106,3,130,0.002365804818731757
499,2106,4,129,0.002367693625069257
500,2106,2,130,0.001704537083716883
501,2106,3,129,0.002365804818731728
502,2106,4,128,0.002367693625067665
503,2106,2,129,0.002247910538055557
504,2106,9,126,0.0023771182510789
505,2106,10,125,0.0023789992886400586
506,2106,8,126,0.002375235916409164
507,2106,9,125,0.0023771182510795227
508,2106,8,125,0.002375235916409731
509,2106,9,124,0.0023771182510793523
